ID,LAT,closest,SST,Ecoregion,Calcite,Chlorophyll_a,Dissolved_oxygen,Nitrate,PAR,Primary_productivity,Salinity,Silicate,Phosphate,Average_tidal_amplitude,Rocky_shore_hab_avail,pH
72,28,27.9945525,18.96,NEP,0.000472132,2.68453725,5.722411164,0.444893799,42.87182645,1117,33.63,3.074702006,0.42348635,1.74,35.70644,8.248284275
73,29,29.0146155,22.88,Cortez,0.006146768,2.149619221,5.49885311,3.662523941,44.744857,1674,35.22,13.8611667,1.134207899,0.64,17.59647,8.236458535
74,30,30.017907,19.47,NEP,0.000425886,1.653827763,5.71623513,0.072844893,40.1034911,1398,33.54,2.423413955,0.369551499,0.73,41.33389,8.222555056
75,31,30.928433,17.88,NEP,0.000578051,4.02958019,5.781290948,0.061230907,41.04953854,1710,33.54,2.487917812,0.362890163,0.72,43.4348,8.221809013
76,32,31.881065,17.82,NEP,0.000361341,1.196792122,5.783151222,0.198350307,40.29534392,1189,33.45,2.61023213,0.362797678,0.71,46.25499,8.213705758
77,33,32.855537,17.36,NEP,0.00061392,3.154125411,5.907376137,0.507670906,40.1200527,1056,33.5,2.953528156,0.403767057,0.72,48.88451,8.206033353
78,34,34.04301,16.08,NEP,0.000599427,3.995101304,5.941205977,1.614748362,37.65331076,1505,33.47,4.064814471,0.519114898,0.7,53.00089,8.194958196
79,35,35.0642995,14.93,NEP,0.0003418,2.538498553,6.052290944,3.046535295,37.32756462,1249,33.29,5.901829255,0.640323019,0.67,55.15625,8.199193202
80,36,36.1321855,13.96,NEP,0.001719675,7.13089587,6.343490275,4.053097756,35.80373411,1198,33.29,7.443131489,0.724905075,0.65,55.36692,8.206758624
81,37,37.0777705,12.93,NEP,0.001173642,5.041733674,6.182156541,3.594654642,34.9870009,1613,33.29,7.453020549,0.737042137,0.66,54.96424,8.207640555
82,38,37.93634,12.93,NEP,0.000826827,2.861874459,6.030845389,4.013130821,34.8816357,2002,33.18,8.479448982,0.765109006,0.71,54.23197,8.212239978
83,39,39.1209435,12.42,NEP,0.00534135,4.310037428,6.106762702,3.779065361,32.92666063,1761,32.88,9.373354716,0.736378782,0.73,52.21305,8.209626615
84,40,39.9659935,12.42,NEP,0.003523782,5.784768691,6.139241662,3.840690234,32.49614599,1815,32.88,10.32599425,0.712040779,0.76,50.61353,8.208399478
85,41,40.990515,12.39,NEP,0.002289803,3.904171628,6.246795431,3.672083434,33.01092553,2291,32.68,11.33532455,0.648855987,0.83,48.68137,8.203210638
86,42,42.0366345,12.14,NEP,0.001005908,4.463437474,6.514450232,3.520114358,32.04302454,1599,32.52,13.56488892,0.616250779,0.95,46.36843,8.197855796
87,43,43.033787,12.23,NEP,0.000797348,3.63480873,6.519377497,3.403796712,30.98132861,1723,31.48,16.03304472,0.608854246,1.03,43.62656,8.191572353
88,44,44.171492,12.36,NEP,0.011147948,15.67964177,6.53381949,3.731490494,30.51655093,1830,31.48,23.13002985,0.717361121,1.09,40.42415,8.178107613
89,45,44.9388415,12.36,NEP,0.00554113,7.865581876,6.609035359,3.760542542,30.71811136,1608,31.48,21.72413733,0.728751971,1.1,38.04112,8.173241894
90,46,46.036393,11.68,NEP,0.00224197,5.80261211,6.607387749,3.900655417,31.01275409,2294,30.27,20.62058879,0.796796652,1.21,34.11243,8.162611845
91,47,46.8364375,12.07,NEP,0.000260037,1.70992289,5.590054218,3.386811032,37.42487968,2282,30.27,3.746050894,0.601700962,1.2,31.26768,8.222263708
92,48,47.9317365,11.65,NEP,0.000345967,1.111590306,4.618753633,1.51307476,46.58009401,2124,31.4,2.042252321,0.255736056,1.19,26.68009,8.241237633
